Split,Train_Start,Train_End,Test_Start,Test_End,Strategy,Total_Return,Ann_Return,Ann_Vol,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
Split1_2020→2021,2015-03-31,2020-03-30,2020-03-31,2021-03-31,Benchmark_60_40,0.23143626320290583,0.2324580488610002,0.09448346236832474,2.0483810168924994,-0.04351516708196686,5.342000604596857
Split1_2020→2021,2015-03-31,2020-03-30,2020-03-31,2021-03-31,Benchmark_80_20,0.3017452975555867,0.30311365734361195,0.1257850183154195,2.0094983776196313,-0.05221517509033113,5.805087444775046
Split1_2020→2021,2015-03-31,2020-03-30,2020-03-31,2021-03-31,Vol_Threshold,0.21351473676724012,0.2144507168718568,0.0965000511653629,1.8550205361188403,-0.048386492551120916,4.432036826089162
Split1_2020→2021,2015-03-31,2020-03-30,2020-03-31,2021-03-31,3-Regime_HMM,0.22576330273277112,0.22675781344661106,0.10118247372285841,1.8733602439562922,-0.046381817884356566,4.888937600763829
Split1_2020→2021,2015-03-31,2020-03-30,2020-03-31,2021-03-31,3-Regime_HMM_Optimized,0.3135864414229369,0.3150146887635312,0.1292519717898976,2.0292103024868946,-0.0480436079234651,6.5568491289280155
Split2_2021→2022,2015-03-31,2021-03-31,2021-04-01,2022-04-01,Benchmark_60_40,0.0439340397599485,0.04411288100804822,0.06626520104799079,0.38269642565816464,-0.07477001095195834,0.5899809354901911
Split2_2021→2022,2015-03-31,2021-03-31,2021-04-01,2022-04-01,Benchmark_80_20,0.07660836319417488,0.07692502567074189,0.08537907184108627,0.6764328394555024,-0.07935847761639106,0.9693359547871852
Split2_2021→2022,2015-03-31,2021-03-31,2021-04-01,2022-04-01,Vol_Threshold,0.09381398886032577,0.09420482768830785,0.07307920491649254,0.9948856425265628,-0.05543882698889479,1.699257231888735
Split2_2021→2022,2015-03-31,2021-03-31,2021-04-01,2022-04-01,3-Regime_HMM,0.08027828260363909,0.08061067500440222,0.06789714046250842,0.8812741810250745,-0.052541567389550695,1.5342266896368575
Split2_2021→2022,2015-03-31,2021-03-31,2021-04-01,2022-04-01,3-Regime_HMM_Optimized,0.09759923133151752,0.09800653490580657,0.09282812543298274,0.8381828426448465,-0.09476043445090221,1.0342558629423153
Split3_2022→2023,2015-03-31,2022-04-01,2022-04-04,2023-04-04,Benchmark_60_40,-0.010020374312021595,-0.01006009463798685,0.10356557602975505,-0.23920892148386133,-0.11902565711805888,-0.08452038729774428
Split3_2022→2023,2015-03-31,2022-04-01,2022-04-04,2023-04-04,Benchmark_80_20,-0.009353793393526285,-0.009390883972574149,0.12522339738710894,-0.17272095527596193,-0.13501951953795854,-0.0695520470277933
Split3_2022→2023,2015-03-31,2022-04-01,2022-04-04,2023-04-04,Vol_Threshold,-0.019399132710520208,-0.019475662556137086,0.10973679909649521,-0.3068533386714139,-0.12951344993438252,-0.15037559856527916
Split3_2022→2023,2015-03-31,2022-04-01,2022-04-04,2023-04-04,3-Regime_HMM,-0.0015660744536052516,-0.0015723088864049162,0.10210596108011365,-0.16047106518451873,-0.11916394449114595,-0.013194501853047848
Split3_2022→2023,2015-03-31,2022-04-01,2022-04-04,2023-04-04,3-Regime_HMM_Optimized,-0.017779383313933212,-0.017849581542231818,0.13269263160674077,-0.22034010755534636,-0.13309712072407245,-0.1341094491385453
Split4_2023→2024,2015-03-31,2023-04-04,2023-04-05,2024-04-05,Benchmark_60_40,0.11425857721471665,0.11473896272275819,0.06875497568046596,1.3234978335132115,-0.053261013434427844,2.154276746236133
Split4_2023→2024,2015-03-31,2023-04-04,2023-04-05,2024-04-05,Benchmark_80_20,0.15271716815725012,0.15337004766293627,0.07718930519682468,1.628399735691091,-0.06162017125967645,2.4889584778434384
Split4_2023→2024,2015-03-31,2023-04-04,2023-04-05,2024-04-05,Vol_Threshold,0.15343199725493978,0.15408813205231642,0.0713290888325427,1.7648403444661929,-0.05699582561916297,2.703498552366076
Split4_2023→2024,2015-03-31,2023-04-04,2023-04-05,2024-04-05,3-Regime_HMM,0.13540733934143703,0.13598193509841972,0.06690699649146385,1.6404617319832218,-0.05524896067652813,2.461257794414765
Split4_2023→2024,2015-03-31,2023-04-04,2023-04-05,2024-04-05,3-Regime_HMM_Optimized,0.2027447438816694,0.20362966757023693,0.06918506332178243,2.4252735098261216,-0.05506329549713041,3.6981017160669025
