Metric,Optimized_Strategy,Benchmark_60_40,Difference
Total Return,1.84393802134039,0.8625880935317147,0.9813499278086752
Annualized Return,0.11364345137894372,0.06614802527652741,0.047495426102416305
Annualized Volatility,0.0972836682053339,0.09096977265393752,0.006313895551396387
Sharpe Ratio,0.9700745155676562,0.5517492754363202,0.418325240131336
Sortino Ratio,1.2312473020235108,0.5798495809126926,0.6513977211108183
Max Drawdown,-0.1784860178421118,-0.20852649563811526,0.030040477796003467
Calmar Ratio,0.6367078651475792,0.3172164049182661,0.3194914602293131
